Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
maze-32-32-4.map,60,30,2,False,-1,30.03152894973755
maze-32-32-4.map,60,30,3,False,-1,30.032788038253784
maze-32-32-4.map,60,30,4,True,3067,0.3742411136627197
maze-32-32-4.map,60,30,5,True,2948,0.5833449363708496
maze-32-32-4.map,60,30,6,False,-1,30.031388998031616
maze-32-32-4.map,60,30,7,False,-1,30.031251907348633
maze-32-32-4.map,60,30,8,False,-1,30.03326106071472
maze-32-32-4.map,60,30,9,False,-1,30.032349109649658
maze-32-32-4.map,60,30,10,False,-1,30.031973123550415
maze-32-32-4.map,60,60,1,False,-1,60.032870054244995
maze-32-32-4.map,60,60,2,False,-1,60.031622886657715
maze-32-32-4.map,60,60,3,False,-1,60.031866788864136
maze-32-32-4.map,60,60,4,True,3067,0.3743739128112793
maze-32-32-4.map,60,60,5,True,2948,0.587238073348999
maze-32-32-4.map,60,60,6,False,-1,60.03239107131958
maze-32-32-4.map,60,60,7,False,-1,60.03063178062439
maze-32-32-4.map,60,60,8,False,-1,60.031150102615356
maze-32-32-4.map,60,60,9,False,-1,60.03032302856445
maze-32-32-4.map,60,60,10,False,-1,60.03367805480957
maze-32-32-4.map,60,90,1,False,-1,90.03274416923523
maze-32-32-4.map,60,90,2,False,-1,90.03085112571716
maze-32-32-4.map,60,90,3,False,-1,90.03153204917908
maze-32-32-4.map,60,90,4,True,3067,0.37776803970336914
maze-32-32-4.map,60,90,5,True,2948,0.5859251022338867
maze-32-32-4.map,60,90,6,False,-1,90.0317029953003
maze-32-32-4.map,60,90,7,False,-1,90.03250098228455
maze-32-32-4.map,60,90,8,False,-1,90.03064608573914
maze-32-32-4.map,60,90,9,False,-1,90.03114080429077
maze-32-32-4.map,60,90,10,False,-1,90.03062915802002
maze-32-32-4.map,60,120,1,False,-1,120.03242874145508
maze-32-32-4.map,60,120,2,False,-1,120.0331802368164
maze-32-32-4.map,60,120,3,False,-1,120.03476595878601
maze-32-32-4.map,60,120,4,True,3067,0.3761169910430908
maze-32-32-4.map,60,120,5,True,2948,0.5823090076446533
maze-32-32-4.map,60,120,6,False,-1,120.03125095367432
maze-32-32-4.map,60,120,7,False,-1,120.03250885009766
maze-32-32-4.map,60,120,8,False,-1,120.03280830383301
maze-32-32-4.map,60,120,9,False,-1,120.03300499916077
maze-32-32-4.map,60,120,10,False,-1,120.0322732925415
maze-32-32-4.map,60,150,1,False,-1,150.03580522537231
maze-32-32-4.map,60,150,2,False,-1,150.03092312812805
maze-32-32-4.map,60,150,3,False,-1,150.0310778617859
maze-32-32-4.map,60,150,4,True,3067,0.37616801261901855
maze-32-32-4.map,60,150,5,True,2948,0.5962958335876465
maze-32-32-4.map,60,150,6,False,-1,150.0319540500641
maze-32-32-4.map,60,150,7,False,-1,150.03203988075256
maze-32-32-4.map,60,150,8,False,-1,150.03183913230896
maze-32-32-4.map,60,150,9,False,-1,150.0314040184021
maze-32-32-4.map,60,150,10,False,-1,150.03351402282715
maze-32-32-4.map,80,30,1,False,-1,30.03401494026184
maze-32-32-4.map,80,30,2,False,-1,30.02973175048828
maze-32-32-4.map,80,30,3,False,-1,30.03282380104065
maze-32-32-4.map,80,30,4,False,-1,30.0308997631073
maze-32-32-4.map,80,30,5,False,-1,30.03154420852661
maze-32-32-4.map,80,30,6,False,-1,30.03215980529785
maze-32-32-4.map,80,30,7,False,-1,30.034790992736816
maze-32-32-4.map,80,30,8,False,-1,30.030765771865845
maze-32-32-4.map,80,30,9,False,-1,30.03047800064087
maze-32-32-4.map,80,30,10,False,-1,30.031076192855835
maze-32-32-4.map,80,60,1,False,-1,60.03067588806152
maze-32-32-4.map,80,60,2,False,-1,60.029797315597534
maze-32-32-4.map,80,60,3,False,-1,60.032577991485596
maze-32-32-4.map,80,60,4,False,-1,60.03176689147949
maze-32-32-4.map,80,60,5,False,-1,60.03224182128906
maze-32-32-4.map,80,60,6,False,-1,60.033084869384766
maze-32-32-4.map,80,60,7,False,-1,60.0388081073761
maze-32-32-4.map,80,60,8,False,-1,60.03056573867798
maze-32-32-4.map,80,60,9,False,-1,60.03012299537659
maze-32-32-4.map,80,60,10,False,-1,60.03173899650574
maze-32-32-4.map,80,90,1,False,-1,90.03340291976929
maze-32-32-4.map,80,90,2,False,-1,90.03267312049866
maze-32-32-4.map,80,90,3,False,-1,90.03206396102905
maze-32-32-4.map,80,90,4,False,-1,90.03208708763123
maze-32-32-4.map,80,90,5,False,-1,90.03248000144958
maze-32-32-4.map,80,90,6,False,-1,90.03198790550232
maze-32-32-4.map,80,90,7,False,-1,90.03180885314941
maze-32-32-4.map,80,90,8,False,-1,90.03324174880981
maze-32-32-4.map,80,90,9,False,-1,90.03248000144958
maze-32-32-4.map,80,90,10,False,-1,90.04545998573303
maze-32-32-4.map,80,120,1,False,-1,120.03118515014648
maze-32-32-4.map,80,120,2,False,-1,120.03071188926697
maze-32-32-4.map,80,120,3,False,-1,120.03265810012817
maze-32-32-4.map,80,120,4,False,-1,120.03236389160156
